STATE_NAME_2011,STATE_CODE_2011,LGA_NAME_2011,LGA_CODE_2011,SLA_NAME_2011,SLA_MAINCODE_2011
New South Wales,1,Wollongong (C),18450,Wollongong (C) Bal,115058454
New South Wales,1,Woollahra (A),18500,Woollahra (A),105108500
New South Wales,1,Wyong (A),18550,Wyong (A) - North-East,105708551
New South Wales,1,Wyong (A),18550,Wyong (A) - South and West,105708554
New South Wales,1,Yass Valley (A),18710,Yass Valley (A),145108710
New South Wales,1,Young (A),18750,Young (A),145108750
New South Wales,1,Unincorporated NSW,19399,Lord Howe Island,125108859
New South Wales,1,Unincorporated NSW,19399,Migratory - Offshore - Shipping (NSW),185019779
New South Wales,1,Unincorporated NSW,19399,Unincorp. Far West,160108809
Victoria,2,Alpine (S),20110,Alpine (S) - East,245150111
Victoria,2,Alpine (S),20110,Alpine (S) - West,245150112
Victoria,2,Ararat (RC),20260,Ararat (RC),220150260
Victoria,2,Ballarat (C),20570,Ballarat (C) - Central,220050571
Victoria,2,Ballarat (C),20570,Ballarat (C) - Inner North,220050572
Victoria,2,Ballarat (C),20570,Ballarat (C) - North,220050573
Victoria,2,Ballarat (C),20570,Ballarat (C) - South,220050574
Victoria,2,Banyule (C),20660,Banyule (C) - Heidelberg,205300661
Victoria,2,Banyule (C),20660,Banyule (C) - North,205300662
Victoria,2,Bass Coast (S),20740,Bass Coast (S) - Phillip Is.,255200741
Victoria,2,Bass Coast (S),20740,Bass Coast (S) Bal,255200744
Victoria,2,Baw Baw (S),20830,Baw Baw (S) - Pt A,255050831
Victoria,2,Baw Baw (S),20830,Baw Baw (S) - Pt B East,255100834
Victoria,2,Baw Baw (S),20830,Baw Baw (S) - Pt B West,255100835
Victoria,2,Bayside (C),20910,Bayside (C) - Brighton,205650911
Victoria,2,Bayside (C),20910,Bayside (C) - South,205650912
Victoria,2,Benalla (RC),21010,Benalla (RC) - Benalla,240151011
Victoria,2,Benalla (RC),21010,Benalla (RC) Bal,240151014
Victoria,2,Boroondara (C),21110,Boroondara (C) - Camberwell N.,205451111
Victoria,2,Boroondara (C),21110,Boroondara (C) - Camberwell S.,205451112
Victoria,2,Boroondara (C),21110,Boroondara (C) - Hawthorn,205451113
Victoria,2,Boroondara (C),21110,Boroondara (C) - Kew,205451114
Victoria,2,Brimbank (C),21180,Brimbank (C) - Keilor,205101181
Victoria,2,Brimbank (C),21180,Brimbank (C) - Sunshine,205101182
Victoria,2,Buloke (S),21270,Buloke (S) - North,230101271
Victoria,2,Buloke (S),21270,Buloke (S) - South,230101272
Victoria,2,Campaspe (S),21370,Campaspe (S) - Echuca,240101371
Victoria,2,Campaspe (S),21370,Campaspe (S) - Kyabram,240101374
Victoria,2,Campaspe (S),21370,Campaspe (S) - Rochester,240101375
Victoria,2,Campaspe (S),21370,Campaspe (S) - South,240101376
Victoria,2,Cardinia (S),21450,Cardinia (S) - North,205801452
Victoria,2,Cardinia (S),21450,Cardinia (S) - Pakenham,205801453
Victoria,2,Cardinia (S),21450,Cardinia (S) - South,205801454
Victoria,2,Casey (C),21610,Casey (C) - Berwick,205801612
Victoria,2,Casey (C),21610,Casey (C) - Cranbourne,205801613
Victoria,2,Casey (C),21610,Casey (C) - Hallam,205801616
Victoria,2,Casey (C),21610,Casey (C) - South,205801618
Victoria,2,Central Goldfields (S),21670,C. Goldfields (S) - M'borough,235101671
Victoria,2,Central Goldfields (S),21670,C. Goldfields (S) Bal,235101674
Victoria,2,Colac-Otway (S),21750,Colac-Otway (S) - Colac,210151751
Victoria,2,Colac-Otway (S),21750,Colac-Otway (S) - North,210151754
Victoria,2,Colac-Otway (S),21750,Colac-Otway (S) - South,210151755
Victoria,2,Corangamite (S),21830,Corangamite (S) - North,215051831
Victoria,2,Corangamite (S),21830,Corangamite (S) - South,215051832
Victoria,2,Darebin (C),21890,Darebin (C) - Northcote,205301891
Victoria,2,Darebin (C),21890,Darebin (C) - Preston,205301892
Victoria,2,East Gippsland (S),22110,E. Gippsland (S) - Bairnsdale,250052111
Victoria,2,East Gippsland (S),22110,E. Gippsland (S) - Orbost,250052113
Victoria,2,East Gippsland (S),22110,E. Gippsland (S) - South-West,250052115
Victoria,2,East Gippsland (S),22110,E. Gippsland (S) Bal,250052117
Victoria,2,Frankston (C),22170,Frankston (C) - East,205852171
Victoria,2,Frankston (C),22170,Frankston (C) - West,205852174
Victoria,2,Gannawarra (S),22250,Gannawarra (S),230152250
Victoria,2,Glen Eira (C),22310,Glen Eira (C) - Caulfield,205652311
Victoria,2,Glen Eira (C),22310,Glen Eira (C) - South,205652314
Victoria,2,Glenelg (S),22410,Glenelg (S) - Heywood,215102411
Victoria,2,Glenelg (S),22410,Glenelg (S) - North,215102412
Victoria,2,Glenelg (S),22410,Glenelg (S) - Portland,215102413
Victoria,2,Golden Plains (S),22490,Golden Plains (S) - North-West,210152491
Victoria,2,Golden Plains (S),22490,Golden Plains (S) - South-East,210152492
Victoria,2,Greater Bendigo (C),22620,Gr. Bendigo (C) - Central,235052621
Victoria,2,Greater Bendigo (C),22620,Gr. Bendigo (C) - Eaglehawk,235052622
Victoria,2,Greater Bendigo (C),22620,Gr. Bendigo (C) - Inner East,235052623
Victoria,2,Greater Bendigo (C),22620,Gr. Bendigo (C) - Inner North,235052624
Victoria,2,Greater Bendigo (C),22620,Gr. Bendigo (C) - Inner West,235052625
Victoria,2,Greater Bendigo (C),22620,Gr. Bendigo (C) - Pt B,235102628
Victoria,2,Greater Bendigo (C),22620,Gr. Bendigo (C) - S'saye,235052626
Victoria,2,Greater Dandenong (C),22670,Gr. Dandenong (C) - Dandenong,205752671
Victoria,2,Greater Dandenong (C),22670,Gr. Dandenong (C) Bal,205752674
Victoria,2,Greater Geelong (C),22750,Bellarine - Inner,210052751
Victoria,2,Greater Geelong (C),22750,Corio - Inner,210052752
Victoria,2,Greater Geelong (C),22750,Geelong,210052753
Victoria,2,Greater Geelong (C),22750,Geelong West,210052754
Victoria,2,Greater Geelong (C),22750,Greater Geelong (C) - Pt B,210102757
Victoria,2,Greater Geelong (C),22750,Greater Geelong (C) - Pt C,210152758
Victoria,2,Greater Geelong (C),22750,Newtown,210052755
Victoria,2,Greater Geelong (C),22750,South Barwon - Inner,210052756
Victoria,2,Greater Shepparton (C),22830,Gr. Shepparton (C) - Pt A,240052831
Victoria,2,Greater Shepparton (C),22830,Gr. Shepparton (C) - Pt B East,240102834
Victoria,2,Greater Shepparton (C),22830,Gr. Shepparton (C) - Pt B West,240102835
Victoria,2,Hepburn (S),22910,Hepburn (S) - East,220102911
Victoria,2,Hepburn (S),22910,Hepburn (S) - West,220102912
Victoria,2,Hindmarsh (S),22980,Hindmarsh (S),225102980
Victoria,2,Hobsons Bay (C),23110,Hobsons Bay (C) - Altona,205103111
Victoria,2,Hobsons Bay (C),23110,Hobsons Bay (C) - Williamstown,205103112
Victoria,2,Horsham (RC),23190,Horsham (RC) - Central,225053191
Victoria,2,Horsham (RC),23190,Horsham (RC) Bal,225053194
Victoria,2,Hume (C),23270,Hume (C) - Broadmeadows,205353271
Victoria,2,Hume (C),23270,Hume (C) - Craigieburn,205353274
Victoria,2,Hume (C),23270,Hume (C) - Sunbury,205353275
Victoria,2,Indigo (S),23350,Indigo (S) - Pt A,245053351
Victoria,2,Indigo (S),23350,Indigo (S) - Pt B,245103352
Victoria,2,Kingston (C),23430,Kingston (C) - North,205653431
Victoria,2,Kingston (C),23430,Kingston (C) - South,205653434
Victoria,2,Knox (C),23670,Knox (C) - North-East,205553672
Victoria,2,Knox (C),23670,Knox (C) - North-West,205553673
Victoria,2,Knox (C),23670,Knox (C) - South,205553674
Victoria,2,Latrobe (C),23810,Latrobe (C) - Moe,255053811
Victoria,2,Latrobe (C),23810,Latrobe (C) - Morwell,255053814
Victoria,2,Latrobe (C),23810,Latrobe (C) - Traralgon,255053815
Victoria,2,Latrobe (C),23810,Latrobe (C) Bal,255053818
Victoria,2,Loddon (S),23940,Loddon (S) - North,235103943
Victoria,2,Loddon (S),23940,Loddon (S) - South,235103945
