setting,case_age,contact_age,case_age_5y,contact_age_5y,probability
household,4,27,0-4,25-29,0.20306042824518317
household,4,28,0-4,25-29,0.19884520867209168
household,4,29,0-4,25-29,0.19815409257974065
household,4,30,0-4,30-34,0.19796894350694405
household,4,31,0-4,30-34,0.19537685648779157
household,4,32,0-4,30-34,0.19274497990365813
household,4,33,0-4,30-34,0.19259962039584255
household,4,34,0-4,30-34,0.19259962039584255
household,4,35,0-4,35-39,0.19259962039584255
household,4,36,0-4,35-39,0.19259962039584255
household,4,37,0-4,35-39,0.19259962039584255
household,4,38,0-4,35-39,0.19537685648779157
household,4,39,0-4,35-39,0.19815409257974065
household,4,40,0-4,40-44,0.1990929481138274
household,4,41,0-4,40-44,0.2031520905156854
household,4,42,0-4,40-44,0.20730934495900136
household,4,43,0-4,40-44,0.21223408571657332
household,4,44,0-4,40-44,0.21786469859504148
household,4,45,0-4,45-49,0.2236250854957098
household,4,46,0-4,45-49,0.23156288787020574
household,4,47,0-4,45-49,0.23978253502784969
household,4,48,0-4,45-49,0.2455020828287032
household,4,49,0-4,45-49,0.2531868488322976
household,4,50,0-4,50-54,0.2608607738268952
household,4,51,0-4,50-54,0.26651263390927715
household,4,52,0-4,50-54,0.2717359694638676
household,4,53,0-4,50-54,0.27819286123629744
household,4,54,0-4,50-54,0.2818123424274552
household,4,55,0-4,55-59,0.28440442944660765
household,4,56,0-4,55-59,0.2872214551035377
household,4,57,0-4,55-59,0.289467344341354
household,4,58,0-4,55-59,0.289627765001198
household,4,59,0-4,55-59,0.2873818757633817
household,4,60,0-4,60-64,0.2872214551035377
household,4,61,0-4,60-64,0.2847650369583465
household,4,62,0-4,60-64,0.282010716434023
household,4,63,0-4,60-64,0.27917574674677337
household,4,64,0-4,60-64,0.27506106720338286
household,4,65,0-4,65-69,0.2694356284899098
household,4,66,0-4,65-69,0.26488592219480017
household,4,67,0-4,65-69,0.2610841399654859
household,4,68,0-4,65-69,0.25669451725189546
household,4,69,0-4,65-69,0.2512223869571261
household,4,70,0-4,70-74,0.24641348260172044
household,4,71,0-4,70-74,0.24641348260172044
household,4,72,0-4,70-74,0.24641348260172044
household,4,73,0-4,70-74,0.24641348260172044
household,4,74,0-4,70-74,0.24641348260172044
household,4,75,0-4,75-79,0.24641348260172044
household,4,76,0-4,75-79,0.24641348260172044
household,4,77,0-4,75-79,0.24641348260172044
household,4,78,0-4,75-79,0.24641348260172044
household,4,79,0-4,75-79,0.24641348260172044
household,4,80,0-4,80+,0.24641348260172044
household,4,81,0-4,80+,0.24641348260172044
household,4,82,0-4,80+,0.24641348260172044
household,4,83,0-4,80+,0.24641348260172044
household,4,84,0-4,80+,0.24641348260172044
household,4,85,0-4,80+,0.24641348260172044
household,4,86,0-4,80+,0.24641348260172044
household,4,87,0-4,80+,0.24641348260172044
household,4,88,0-4,80+,0.24641348260172044
household,4,89,0-4,80+,0.24641348260172044
household,4,90,0-4,80+,0.24641348260172044
household,4,91,0-4,80+,0.24641348260172044
household,4,92,0-4,80+,0.24641348260172044
household,4,93,0-4,80+,0.24641348260172044
household,4,94,0-4,80+,0.24641348260172044
household,4,95,0-4,80+,0.24641348260172044
household,4,96,0-4,80+,0.24641348260172044
household,4,97,0-4,80+,0.24641348260172044
household,4,98,0-4,80+,0.24641348260172044
household,4,99,0-4,80+,0.24641348260172044
household,4,100,0-4,80+,0.24641348260172044
household,5,0,5-9,0-4,0.19612714341283236
household,5,1,5-9,0-4,0.19612714341283236
household,5,2,5-9,0-4,0.19612714341283236
household,5,3,5-9,0-4,0.19612714341283236
household,5,4,5-9,0-4,0.19612714341283236
household,5,5,5-9,5-9,0.19647652919594286
household,5,6,5-9,5-9,0.1988244370267126
household,5,7,5-9,5-9,0.1991241379842008
household,5,8,5-9,5-9,0.19969934163870875
household,5,9,5-9,5-9,0.20206079742437813
household,5,10,5-9,10-14,0.2049049720087684
household,5,11,5-9,10-14,0.20727003695396048
household,5,12,5-9,10-14,0.2075231359486307
household,5,13,5-9,10-14,0.20803226975060368
household,5,14,5-9,10-14,0.21023005172772768
household,5,15,5-9,15-19,0.21047950132715101
household,5,16,5-9,15-19,0.21087720712208674
household,5,17,5-9,15-19,0.21305286731188555
household,5,18,5-9,15-19,0.21313851168607673
household,5,19,5-9,15-19,0.2131404498128476
household,5,20,5-9,20-24,0.21313786564381976
household,5,21,5-9,20-24,0.21300065976493326
household,5,22,5-9,20-24,0.21067835422461886
household,5,23,5-9,20-24,0.21035840035881295
household,5,24,5-9,20-24,0.2078875512452737
household,5,25,5-9,25-29,0.20756451979684337
household,5,26,5-9,25-29,0.20707939439165696
household,5,27,5-9,25-29,0.20400209393621266
household,5,28,5-9,25-29,0.199865687017416
household,5,29,5-9,25-29,0.19912621454859816
household,5,30,5-9,30-34,0.19890495707840083
household,5,31,5-9,30-34,0.1964764558366883
household,5,32,5-9,30-34,0.1942730298717198
household,5,33,5-9,30-34,0.19361010614900323
household,5,34,5-9,30-34,0.19336483476143093
household,5,35,5-9,35-39,0.19334990732088334
household,5,36,5-9,35-39,0.19336483476143093
household,5,37,5-9,35-39,0.19377233965417429
household,5,38,5-9,35-39,0.19644412375016718
household,5,39,5-9,35-39,0.1990010506128936
household,5,40,5-9,40-44,0.20005621835547208
household,5,41,5-9,40-44,0.20442610011988746
household,5,42,5-9,40-44,0.20826223237865918
household,5,43,5-9,40-44,0.21330206748984343
household,5,44,5-9,40-44,0.218928230801796
household,5,45,5-9,45-49,0.2247346878479755
household,5,46,5-9,45-49,0.23255413907416678
household,5,47,5-9,45-49,0.2404724661484431
household,5,48,5-9,45-49,0.2465141298447663
household,5,49,5-9,45-49,0.2539337748415599
household,5,50,5-9,50-54,0.26149772057156406
household,5,51,5-9,50-54,0.2672273032121638
household,5,52,5-9,50-54,0.2727075794702202
household,5,53,5-9,50-54,0.27910049902950645
household,5,54,5-9,50-54,0.28247858115145075
household,5,55,5-9,55-59,0.2853915190004828
household,5,56,5-9,55-59,0.2881216628658744
household,5,57,5-9,55-59,0.2901514825856047
household,5,58,5-9,55-59,0.2902418695374958
household,5,59,5-9,55-59,0.28841762389244147
household,5,60,5-9,60-64,0.2880110180787777
household,5,61,5-9,60-64,0.28550196240190384
household,5,62,5-9,60-64,0.2827068659662232
household,5,63,5-9,60-64,0.27996668456370916
household,5,64,5-9,60-64,0.2756701616727617
household,5,65,5-9,65-69,0.2704732462771029
household,5,66,5-9,65-69,0.2657198405382892
household,5,67,5-9,65-69,0.2619483059091452
household,5,68,5-9,65-69,0.25731974711759936
household,5,69,5-9,65-69,0.2519377191316536
household,5,70,5-9,70-74,0.24730984655245844
household,5,71,5-9,70-74,0.24730984655245844
household,5,72,5-9,70-74,0.24730984655245844
household,5,73,5-9,70-74,0.24730984655245844
household,5,74,5-9,70-74,0.24730984655245844
household,5,75,5-9,75-79,0.24730984655245844
household,5,76,5-9,75-79,0.24730984655245844
household,5,77,5-9,75-79,0.24730984655245844
household,5,78,5-9,75-79,0.24730984655245844
household,5,79,5-9,75-79,0.24730984655245844
household,5,80,5-9,80+,0.24730984655245844
household,5,81,5-9,80+,0.24730984655245844
household,5,82,5-9,80+,0.24730984655245844
household,5,83,5-9,80+,0.24730984655245844
household,5,84,5-9,80+,0.24730984655245844
household,5,85,5-9,80+,0.24730984655245844
household,5,86,5-9,80+,0.24730984655245844
household,5,87,5-9,80+,0.24730984655245844
household,5,88,5-9,80+,0.24730984655245844
household,5,89,5-9,80+,0.24730984655245844
household,5,90,5-9,80+,0.24730984655245844
household,5,91,5-9,80+,0.24730984655245844
household,5,92,5-9,80+,0.24730984655245844
household,5,93,5-9,80+,0.24730984655245844
household,5,94,5-9,80+,0.24730984655245844
household,5,95,5-9,80+,0.24730984655245844
household,5,96,5-9,80+,0.24730984655245844
household,5,97,5-9,80+,0.24730984655245844
household,5,98,5-9,80+,0.24730984655245844
household,5,99,5-9,80+,0.24730984655245844
household,5,100,5-9,80+,0.24730984655245844
household,6,0,5-9,0-4,0.20108577314874376
household,6,1,5-9,0-4,0.20108577314874376
household,6,2,5-9,0-4,0.20108577314874376
household,6,3,5-9,0-4,0.20108577314874376
